,Station 72353013967,Station 99999903948,Station 72354099999,Station 72357003948,Station 72354013919,Station 72354403954,Station 99999903954,Station 72354499999,Station 72357099999
AT4,639,9,0,229,669,289,10,0,0
AT5,155,5,0,62,221,80,2,0,0
AT6,58,0,0,15,79,39,0,0,0
AT7,28,0,0,3,27,17,0,0,0
AT8,9,0,0,1,11,3,0,0,0
AU1,31392,793,0,27785,43013,33252,1443,0,0
AU2,13149,78,0,3830,16231,12093,444,0,0
AU3,2897,0,0,206,3434,2978,103,0,0
AU4,96,0,0,1,30,16,1,0,0
AU5,1,0,0,1,3,0,0,0,0
AW1,31482,651,2,30121,44641,31565,1325,529,2213
AW2,13700,48,0,3758,17475,11951,390,111,0
AW3,3621,0,0,1598,5016,3546,91,0,0
AW4,1433,0,0,113,1990,1411,0,0,0
AW5,50,0,0,0,6,9,0,0,0
AW6,6,0,0,0,0,1,0,0,0
AW7,1,0,0,0,0,0,0,0,0
AX1,2311,0,0,0,0,2402,136,0,0
AX2,1146,0,0,0,0,1274,54,0,0
AX3,258,0,0,0,0,259,10,0,0
AX4,38,0,0,0,0,25,1,0,0
AX5,9,0,0,0,0,1,0,0,0
AX6,2,0,0,0,0,0,0,0,0
CALL_SIGN.1,329180,8487,51130,373707,211438,178358,12344,101244,104747
CIG,329180,8487,51130,373707,211438,178358,12344,101244,104747
DEW,329180,8487,51130,373707,211438,178358,12344,101244,104747
ED1,4122,0,118,0,16320,0,0,0,0
EQD,120245,7827,48617,206132,71368,59589,1550,55170,97792
GA1,178240,7674,2447,230497,167899,126428,10131,3409,238
GA2,73253,597,4,37840,38137,28186,1515,1260,70
GA3,29053,225,0,16081,11171,11104,494,416,21
GA4,879,0,0,0,1023,1,0,1,0
GA5,28,0,0,0,92,0,0,0,0
GA6,0,0,0,0,6,0,0,0,0
GD1,207875,7674,40199,243288,169479,126497,10131,25949,30430
GD2,94891,597,21786,42226,38696,28211,1515,8706,8369
GD3,37057,225,7508,18127,11369,11111,493,2925,2925
GD4,4873,0,1122,1,2048,1,0,2,0
GE1,87874,0,0,55622,52447,35332,0,0,0
GF1,277892,0,49190,360047,203109,165994,0,58281,100186
GJ1,590,0,0,0,0,0,792,0,0
GK1,590,0,0,0,0,0,792,0,0
GP1,43848,0,43841,0,0,0,0,43848,0
GQ1,23955,0,23957,0,0,0,0,23955,0
GR1,43848,0,43841,0,0,0,0,43848,0
HL1,7,0,0,0,3,0,0,0,0
IA1,6,0,2,0,0,0,0,4,0
KA1,70819,0,12,3211,21353,28764,2111,8425,32
KA2,70410,0,3,3175,21213,28667,2111,8408,3
KA3,3117,0,0,102,3096,3084,0,0,0
KA4,3075,0,0,102,3058,3050,0,0,0
KB1,261,0,0,0,0,181,69,0,0
KB2,261,0,0,0,0,181,69,0,0
KB3,261,0,0,0,0,181,69,0,0
KC1,204,0,0,0,0,181,12,0,0
KC2,203,0,0,0,0,181,12,0,0
KD1,255,0,0,0,0,181,69,0,0
KD2,255,0,0,0,0,181,69,0,0
KE1,260,0,0,0,0,172,64,0,0
KG1,5749,0,0,0,0,0,0,0,0
KG2,5749,0,0,0,0,0,0,0,0
MA1,287292,7787,48992,371008,208514,172155,10111,58245,103251
MD1,121242,0,13750,2,48406,46477,2870,17526,1706
MF1,5706,0,0,0,0,0,0,0,0
MG1,7963,406,0,0,0,5839,2087,0,0
MH1,259,10,0,0,0,183,62,0,0
MK1,261,0,0,0,0,183,69,0,0
MV1,171,87,0,2943,2688,3337,157,0,0
MW1,80344,84,49540,3996,23810,14763,28,52698,80774
MW2,12053,0,4348,440,6243,3242,0,2599,849
MW3,2959,0,443,97,1211,770,0,418,4
MW4,175,0,0,5,26,0,0,1,0
MW5,4,0,0,0,2,0,0,0,0
OC1,44138,1741,5198,85694,38430,37976,1370,8709,22575
OD1,23537,0,0,0,9856,18620,0,622,0
OE1,7972,455,0,0,183,5843,2126,0,0
OE2,7972,455,0,0,183,5843,2126,0,0
OE3,7952,0,0,0,0,5828,2095,0,0
QUALITY_CONTROL.1,329180,8487,51130,373707,211438,178358,12344,101244,104747
REM,295111,8325,49542,371300,208799,178357,12343,58995,104747
REPORT_TYPE.1,329180,8487,51130,373707,211438,178358,12344,101244,104747
RH1,5779,0,0,0,0,0,0,0,0
RH2,5779,0,0,0,0,0,0,0,0
RH3,5779,0,0,0,0,0,0,0,0
SA1,5,0,2,0,0,0,0,4,12
SLP,329180,8487,51130,373707,211438,178358,12344,101244,104747
SOURCE.1,329180,8487,51130,373707,211438,178358,12344,101244,104747
TMP,329180,8487,51130,373707,211438,178358,12344,101244,104747
UA1,4,0,2,0,0,0,0,3,12
UG1,5,0,2,0,0,0,0,4,12
VIS,329180,8487,51130,373707,211438,178358,12344,101244,104747
WA1,50,0,0,0,0,427,0,0,0
WND,329180,8487,51130,373707,211438,178358,12344,101244,104747
