STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,CIG,DEW,SLP,TMP,VIS,WND
72353013967,35.3889,-97.6006,391.7,2004-05-09T16:52:00,"01036,5,M,N","+0161,5","10149,5","+0244,5","016000,5,N,1","190,5,N,0072,5"
72353013967,35.3889,-97.6006,391.7,2004-05-09T17:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-09T17:52:00,"22000,1,9,N","+0170,1","10145,1","+0260,1","016093,1,N,1","170,1,N,0082,1"
72353013967,35.3889,-97.6006,391.7,2004-05-09T18:00:00,"22000,5,M,N","+0167,5","10145,5","+0261,5","016000,5,N,1","170,5,N,0082,5"
72353013967,35.3889,-97.6006,391.7,2004-05-09T18:52:00,"22000,5,M,N","+0167,5","10138,5","+0256,5","016000,5,N,1","150,5,N,0082,5"
72353013967,35.3889,-97.6006,391.7,2004-05-09T19:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-09T19:52:00,"22000,5,M,N","+0172,5","10135,5","+0267,5","016000,5,N,1","160,5,N,0077,5"
72353013967,35.3889,-97.6006,391.7,2004-05-09T20:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-09T20:52:00,"22000,1,9,N","+0170,1","10126,1","+0270,1","016093,1,N,1","150,1,N,0087,1"
72353013967,35.3889,-97.6006,391.7,2004-05-09T21:00:00,"22000,5,M,N","+0172,5","10126,5","+0267,5","016000,5,N,1","150,5,N,0088,5"
72353013967,35.3889,-97.6006,391.7,2004-05-09T21:52:00,"22000,5,M,N","+0167,5","10116,5","+0261,5","016000,5,N,1","150,5,N,0088,5"
72353013967,35.3889,-97.6006,391.7,2004-05-09T22:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-09T22:52:00,"22000,5,M,N","+0161,5","10111,5","+0267,5","016000,5,N,1","170,5,N,0098,5"
72353013967,35.3889,-97.6006,391.7,2004-05-09T23:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-09T23:52:00,"22000,1,9,N","+0160,1","10110,1","+0260,1","016093,1,N,1","160,1,N,0093,1"
72353013967,35.3889,-97.6006,391.7,2004-05-10T00:00:00,"22000,5,M,N","+0156,5","10110,5","+0256,5","016000,5,N,1","160,5,N,0093,5"
72353013967,35.3889,-97.6006,391.7,2004-05-10T00:52:00,"22000,5,M,N","+0161,5","10113,5","+0239,5","016000,5,N,1","160,5,N,0052,5"
72353013967,35.3889,-97.6006,391.7,2004-05-10T01:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-10T01:52:00,"22000,5,M,N","+0161,5","10117,5","+0222,5","016000,5,N,1","150,5,N,0046,5"
72353013967,35.3889,-97.6006,391.7,2004-05-10T02:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-10T02:52:00,"22000,1,9,N","+0160,1","10121,1","+0210,1","016093,1,N,1","150,1,N,0057,1"
72353013967,35.3889,-97.6006,391.7,2004-05-10T03:00:00,"22000,5,M,N","+0161,5","10121,5","+0211,5","016000,5,N,1","150,5,N,0057,5"
72353013967,35.3889,-97.6006,391.7,2004-05-10T03:52:00,"22000,5,M,N","+0156,5","10126,5","+0206,5","016000,5,N,1","150,5,N,0057,5"
72353013967,35.3889,-97.6006,391.7,2004-05-10T04:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-10T04:52:00,"22000,5,M,N","+0156,5","10120,5","+0200,5","016000,5,N,1","160,5,N,0067,5"
72353013967,35.3889,-97.6006,391.7,2004-05-10T05:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-10T05:52:00,"22000,1,9,N","+0160,1","10123,1","+0190,1","016093,1,N,1","160,1,N,0062,1"
72353013967,35.3889,-97.6006,391.7,2004-05-10T05:59:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-10T06:00:00,"22000,5,M,N","+0161,5","10123,5","+0194,5","016000,5,N,1","160,5,N,0062,5"
72353013967,35.3889,-97.6006,391.7,2004-05-10T06:52:00,"22000,5,M,N","+0167,5","10119,5","+0194,5","016000,5,N,1","160,5,N,0067,5"
72353013967,35.3889,-97.6006,391.7,2004-05-10T07:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-10T07:52:00,"22000,5,M,N","+0172,5","10114,5","+0189,5","016000,5,N,1","160,5,N,0062,5"
72353013967,35.3889,-97.6006,391.7,2004-05-10T08:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-10T08:52:00,"07500,1,9,N","+0170,1","10111,1","+0180,1","016093,1,N,1","160,1,N,0051,1"
72353013967,35.3889,-97.6006,391.7,2004-05-10T09:00:00,"07620,5,M,N","+0172,5","10111,5","+0183,5","016000,5,N,1","160,5,N,0052,5"
72353013967,35.3889,-97.6006,391.7,2004-05-10T09:52:00,"07620,5,M,N","+0167,5","10110,5","+0178,5","012800,5,N,1","150,5,N,0052,5"
72353013967,35.3889,-97.6006,391.7,2004-05-10T10:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-10T10:52:00,"22000,5,M,N","+0167,5","10115,5","+0178,5","011200,5,N,1","160,5,N,0041,5"
72353013967,35.3889,-97.6006,391.7,2004-05-10T11:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-10T11:23:00,"00420,1,9,N","+0170,1","99999,9","+0180,1","011265,1,N,1","150,1,N,0051,1"
72353013967,35.3889,-97.6006,391.7,2004-05-10T11:52:00,"00360,1,9,N","+0170,1","10120,1","+0180,1","011265,1,N,1","160,1,N,0046,1"
72353013967,35.3889,-97.6006,391.7,2004-05-10T12:00:00,"00366,5,M,N","+0172,5","10120,5","+0183,5","011200,5,N,1","160,5,N,0046,5"
72353013967,35.3889,-97.6006,391.7,2004-05-10T12:33:00,"00240,1,9,N","+0180,1","99999,9","+0190,1","012874,1,N,1","170,1,N,0062,1"
72353013967,35.3889,-97.6006,391.7,2004-05-10T12:52:00,"00244,5,M,N","+0178,5","10123,5","+0194,5","012800,5,N,1","170,5,N,0072,5"
72353013967,35.3889,-97.6006,391.7,2004-05-10T13:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-10T13:35:00,"00270,1,C,N","+0180,1","99999,9","+0200,1","016093,1,N,1","170,1,N,0072,1"
72353013967,35.3889,-97.6006,391.7,2004-05-10T13:52:00,"00366,5,M,N","+0178,5","10128,5","+0206,5","016000,5,N,1","170,5,N,0072,5"
72353013967,35.3889,-97.6006,391.7,2004-05-10T14:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-10T14:52:00,"00420,1,9,N","+0180,1","10130,1","+0230,1","016093,1,N,1","170,1,N,0077,1"
72353013967,35.3889,-97.6006,391.7,2004-05-10T15:00:00,"00427,5,M,N","+0183,5","10130,5","+0228,5","016000,5,N,1","170,5,N,0077,5"
72353013967,35.3889,-97.6006,391.7,2004-05-10T15:04:00,"22000,1,9,N","+0180,1","99999,9","+0230,1","016093,1,N,1","170,1,N,0082,1"
72353013967,35.3889,-97.6006,391.7,2004-05-10T15:52:00,"07315,5,M,N","+0183,5","10129,5","+0244,5","016000,5,N,1","180,5,N,0072,5"
72353013967,35.3889,-97.6006,391.7,2004-05-10T16:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-10T16:52:00,"22000,5,M,N","+0178,5","10129,5","+0267,5","016000,5,N,1","180,5,N,0082,5"
72353013967,35.3889,-97.6006,391.7,2004-05-10T17:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
